x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population
0.199924,,,,,,,,,,,,,0.076135,,,,,,,,,,,
0.199987,,,,0.051,,,,,,,,,,,,,,,,,,,,
0.201101,,,,,,,,,,,,0.1107,,,,,,,,,,,,
0.201216,,,,,0.064828,,,,,,,,,,,,,,,,,,,
0.202152,,,,,,,,,,,0.195535,,,,,,,,,,,,,
0.203,,0.109448,,,,,,,,,,,,,,,,,,,,,,
0.20615,0.113855,,,,,,,,,,,,,,,,,,,,,,,
0.207013,,,,,,,,,,,,,,,,,,,,,,,,0.021484
0.210779,,,,,,,,,,,,,,,,,,,,,0.032177,,,
0.214447,,,,,,,,,,,,,0.081829,,,,,,,,,,,
0.214783,,,0.199967,,,,,,,,,,,,,,,,,,,,,
0.215785,,,,0.052299,,,,,,,,,,,,,,,,,,,,
0.216072,,,,,,,,,,,0.189917,,,,,,,,,,,,,
0.216381,,,,,0.066753,,,,,,,,,,,,,,,,,,,
0.216903,,,,,,,,,,,,0.110742,,,,,,,,,,,,
0.218167,,0.110745,,,,,,,,,,,,,,,,,,,,,,
0.221315,0.115781,,,,,,,,,,,,,,,,,,,,,,,
0.222815,,,,,,,,,,,,,,,,,,,,,,,,0.021526
0.225947,,,,,,,,,,,,,,,,,,,,,0.032845,,,
0.227704,,,,,,,,,,,,,0.088148,,,,,,,,,,,
0.229946,,,0.202521,,,,,,,,,,,,,,,,,,,,,
0.230619,,,,,,,,,,,0.186185,,,,,,,,,,,,,
0.23095,,,,0.054224,,,,,,,,,,,,,,,,,,,,
0.231546,,,,,0.068679,,,,,,,,,,,,,,,,,,,
0.232706,,,,,,,,,,,,0.110155,,,,,,,,,,,,
0.233964,,0.112672,,,,,,,,,,,,,,,,,,,,,,
0.236481,0.117078,,,,,,,,,,,,,,,,,,,,,,,
0.238613,,,,,,,,,,,,,,,,,,,,,,,,0.022825
0.241747,,,,,,,,,,,,,,,,,,,,,0.033516,,,
0.242228,,,,,,,,,,,,,0.093843,,,,,,,,,,,
0.245108,,,0.205704,,,,,,,,,,,,,,,,,,,,,
0.245793,,,,,,,,,,,0.18434,,,,,,,,,,,,,
0.246748,,,,0.055523,,,,,,,,,,,,,,,,,,,,
0.247341,,,,,0.071234,,,,,,,,,,,,,,,,,,,
0.248507,,,,,,,,,,,,0.110197,,,,,,,,,,,,
0.24913,,0.113969,,,,,,,,,,,,,,,,,,,,,,
0.252282,0.11712,,,,,,,,,,,,,,,,,,,,,,,
0.25378,,,,,,,,,,,,,,,,,,,,,,,,0.024122
0.256754,,,,,,,,,,,,,0.09828,,,,,,,,,,,
0.257549,,,,,,,,,,,,,,,,,,,,,0.033558,,,
0.260271,,,0.208257,,,,,,,,,,,,,,,,,,,,,
0.260967,,,,,,,,,,,0.182495,,,,,,,,,,,,,
0.261913,,,,0.057448,,,,,,,,,,,,,,,,,,,,
0.262506,,,,,0.07316,,,,,,,,,,,,,,,,,,,
0.264309,,,,,,,,,,,,0.110239,,,,,,,,,,,,
0.264927,,0.115897,,,,,,,,,,,,,,,,,,,,,,
0.268084,0.117162,,,,,,,,,,,,,,,,,,,,,,,
0.269578,,,,,,,,,,,,,,,,,,,,,,,,0.025421
0.270645,,,,,,,,,,,,,0.103972,,,,,,,,,,,
0.273349,,,,,,,,,,,,,,,,,,,,,0.034228,,,
0.275432,,,0.21144,,,,,,,,,,,,,,,,,,,,,
0.276143,,,,,,,,,,,0.180022,,,,,,,,,,,,,
0.27708,,,,0.058745,,,,,,,,,,,,,,,,,,,,
0.277671,,,,,0.075085,,,,,,,,,,,,,,,,,,,
0.278835,,,,,,,,,,,,0.114677,,,,,,,,,,,,
0.280093,,0.117194,,,,,,,,,,,,,,,,,,,,,,
0.283886,0.117204,,,,,,,,,,,,,,,,,,,,,,,
