x,world-population,terrestrial-biosphere-degradation,domesticated-land,coastal-nitrogen,tropical-forest-lost,shrimp-aquaculture,ocean-acidification,marine-fish-capture,stratospheric-ozone,surface-temperature,nitrous-dioxide,methane,carbon-dioxide,international-tourism,telecommunications,transportation,fertilizer-consumption,paper-production,water-use,large-dam,primary-energy-use,foreign-direct-investement,real-gdp,urban-population,world-population-smoothed,terrestrial-biosphere-degradation-smoothed,domesticated-land-smoothed,coastal-nitrogen-smoothed,tropical-forest-lost-smoothed,shrimp-aquaculture-smoothed,ocean-acidification-smoothed,marine-fish-capture-smoothed,stratospheric-ozone-smoothed,surface-temperature-smoothed,nitrous-dioxide-smoothed,methane-smoothed,carbon-dioxide-smoothed,international-tourism-smoothed,telecommunications-smoothed,transportation-smoothed,fertilizer-consumption-smoothed,paper-production-smoothed,water-use-smoothed,large-dam-smoothed,primary-energy-use-smoothed,foreign-direct-investement-smoothed,real-gdp-smoothed,urban-population-smoothed
0.169295,,,0.191677,,,,,,,,,,,,,,,,,,,,,,,,0.191879265477559,,,,,,,,,,,,,,,,,,,,,
0.169498,,,,,,,,,,,,0.110616,,,,,,,,,,,,,,,,,,,,,,,,0.106467336362642,,,,,,,,,,,,
0.170231,,,,,,,,,,,,,0.070401,,,,,,,,,,,,,,,,,,,,,,,,0.0750748634876099,,,,,,,,,,,
0.170255,,,,,0.060975,,,,,,,,,,,,,,,,,,,,,,,,0.0608005613395479,,,,,,,,,,,,,,,,,,,
0.172036,,0.106852,,,,,,,,,,,,,,,,,,,,,,,,0.106664528486241,,,,,,,,,,,,,,,,,,,,,,
0.17243,,,,,,,,,,,0.20174,,,,,,,,,,,,,,,,,,,,,,,,0.201793092171642,,,,,,,,,,,,,
0.175188,0.110002,,,,,,,,,,,,,,,,,,,,,,,,0.109159645138298,,,,,,,,,,,,,,,,,,,,,,,
0.17541,,,,,,,,,,,,,,,,,,,,,,,,0.0214,,,,,,,,,,,,,,,,,,,,,,,,0.021951743414478
0.179176,,,,,,,,,,,,,,,,,,,,,0.032093,,,,,,,,,,,,,,,,,,,,,,,,0.031647254844179,,,
0.184456,,,0.19486,,,,,,,,,,,,,,,,,,,,,,,,0.194563663356933,,,,,,,,,,,,,,,,,,,,,
0.184822,,,,0.049074,,,,,,,,,,,,,,,,,,,,,,,,0.0492716819461856,,,,,,,,,,,,,,,,,,,,
0.1853,,,,,,,,,,,,0.110658,,,,,,,,,,,,,,,,,,,,,,,,0.107900324410575,,,,,,,,,,,,
0.185394,,,,,,,,,,,,,0.072955,,,,,,,,,,,,,,,,,,,,,,,,0.0783645762411371,,,,,,,,,,,
0.186051,,,,,0.062902,,,,,,,,,,,,,,,,,,,,,,,,0.0628153290782053,,,,,,,,,,,,,,,,,,,
0.186977,,,,,,,,,,,0.198008,,,,,,,,,,,,,,,,,,,,,,,,0.19922756784513,,,,,,,,,,,,,
0.187202,,0.108149,,,,,,,,,,,,,,,,,,,,,,,,0.108070911077158,,,,,,,,,,,,,,,,,,,,,,
0.190354,0.111299,,,,,,,,,,,,,,,,,,,,,,,,0.110759773562409,,,,,,,,,,,,,,,,,,,,,,,
0.191212,,,,,,,,,,,,,,,,,,,,,,,,0.021442,,,,,,,,,,,,,,,,,,,,,,,,0.0223020383345726
0.194977,,,,,,,,,,,,,,,,,,,,,0.032135,,,,,,,,,,,,,,,,,,,,,,,,0.0320641266205149,,,
0.199619,,,0.197413,,,,,,,,,,,,,,,,,,,,,,,,0.197274338737954,,,,,,,,,,,,,,,,,,,,,
0.199924,,,,,,,,,,,,,0.076135,,,,,,,,,,,,,,,,,,,,,,,,0.0820971470491849,,,,,,,,,,,
0.199987,,,,0.051,,,,,,,,,,,,,,,,,,,,,,,,0.0508290931321216,,,,,,,,,,,,,,,,,,,,
0.201101,,,,,,,,,,,,0.1107,,,,,,,,,,,,,,,,,,,,,,,,0.109340119596298,,,,,,,,,,,,
0.201216,,,,,0.064828,,,,,,,,,,,,,,,,,,,,,,,,0.0647947159054563,,,,,,,,,,,,,,,,,,,
0.202152,,,,,,,,,,,0.195535,,,,,,,,,,,,,,,,,,,,,,,,0.196729980179691,,,,,,,,,,,,,
